股票代號,股票名稱,收盤價,月平均價
"030085","鴻海凱基26購06","0.79","0.91"
"030086","美律凱基25購01","0.84","1.33"
"030087","全新凱基25購02","1.15","1.91"
"030088","揚明光凱基25購03","0.50","0.71"
"030089","華擎凱基26購02","1.55","1.39"
"03008P","台積電元大23售66","1.23","1.19"
"030090","嘉澤凱基26購03","1.44","1.83"
"030091","碩天凱基26購01","0.67","1.03"
"030092","啟碁凱基26購02","0.95","1.21"
"030093","晶心科凱基25購06","0.84","0.86"
"030094","嘉基凱基26購01","","1.12"
"030095","T50反1國票25購03","0.56","0.52"
"030096","T50反1國票26購02","0.55","0.52"
"030097","T50反1國票26購03","0.78","0.74"
"030098","T50反1國票27購03","0.69","0.64"
"030099","T50反1國票28購04","0.47","0.44"
"03009P","華邦電元大23售02","0.95","0.89"
"030100","滬深2X國票26購03","","2.40"
"030101","台泥國票26購01","1.49","1.53"
"030102","為升國票26購01","2.10","2.24"
"030103","國巨國票26購01","2.12","2.43"
"030104","台積電國票26購04","1.02","1.24"
"030105","台積電國票27購02","","1.37"
"030106","威盛國票26購02","","3.40"
"030107","南亞科國票26購02","0.67","0.90"
"030108","宏達電國票26購02","1.38","1.70"
"030109","欣興國票26購04","","3.07"
"03010P","華航元大23售11","2.59","2.53"
"030110","總太國票25購01","","0.53"
"030111","華擎國票26購02","","3.66"
"030112","嘉澤國票26購01","3.17","3.72"
"030113","致伸國票26購02","","2.69"
"030114","祥碩國票25購02","1.03","1.27"
"030115","祥碩國票27購01","1.25","1.39"
"030116","晶心科國票26購04","1.08","1.11"
"030117","滬深2X中信26購02","","1.06"
"030118","滬深2X中信28購01","1.78","1.83"
"030119","台泥中信25購01","0.66","0.71"
"03011P","中信金元大23售02","","0.42"
"030120","華新中信29購01","2.54","2.76"
"030121","中華中信25購01","1.37","2.06"
"030122","為升中信26購01","0.46","0.49"
"030123","技嘉中信26購01","0.28","0.34"
"030124","全新中信25購01","0.43","0.68"
"030125","祥碩中信26購01","0.33","0.40"
"030126","祥碩中信27購01","0.38","0.44"
"030127","中鴻元大25購02","1.87","1.65"
"030128","裕隆元大25購12","4.95","5.45"
