股票代號,股票名稱,收盤價,月平均價
"079000","光罩元大21購02","0.45","0.65"
"079001","金像電元大21購01","","1.59"
"079002","台光電元大21購03","0.22","0.55"
"079003","威盛元大21購01","1.31","1.80"
"079005","威盛元大25購01","2.54","2.93"
"079006","聯發科元大21購06","0.95","0.96"
"079007","聯發科元大26購04","2.23","3.21"
"079008","陽明元大21購05","","0.12"
"079010","華航元大23購02","0.55","0.57"
"079011","華航元大26購01","0.56","0.58"
"079012","長榮航元大21購18","0.12","0.24"
"079013","長榮航元大23購04","","0.59"
"079015","聯詠元大23購02","","4.42"
"079016","聯詠元大26購01","2.98","2.99"
"079017","嘉澤元大21購02","0.59","1.06"
"079019","貿聯元大23購02","0.39","0.55"
"07901P","同欣電元大23售04","0.76","0.77"
"079020","TPK元大21購01","","0.07"
"079021","神達元大21購01","","0.21"
"079022","中磊元大25購02","","0.78"
"079023","台表科元大23購01","1.26","1.53"
"079024","安集元大23購01","0.36","0.47"
"079025","聯電富邦23購02","","1.06"
"079026","國巨富邦23購03","","2.36"
"079027","台積電富邦25購08","","0.40"
"079028","台積電富邦25購09","","0.67"
"079029","聯發科富邦23購06","0.52","1.01"
"07902P","南電元大23售22","","0.28"
"079030","裕民富邦23購02","0.66","0.54"
"079033","新唐富邦23購03","0.24","0.31"
"079034","長榮中信24購01","0.27","0.27"
"079035","長榮中信25購01","0.19","0.19"
"079037","台達電康和21購01","","3.07"
"07903P","裕隆中信22售01","","0.04"
"079040","日月光康和23購01","1.37","1.89"
"079041","台積電第一2B購04","0.57","0.63"
"079042","南電第一23購01","","0.62"
"079044","美時群益23購01","4.74","6.06"
"079045","偉詮電群益22購01","","0.18"
"079046","智易群益21購02","","1.08"
"079047","祥碩群益21購02","","0.01"
"079048","鈺齊群益21購02","","1.03"
"079049","台灣50國票22購03","","0.74"
"07904P","鈺齊康和22售01","0.25","0.32"
"079050","東鹼國票22購02","0.14","0.27"
"079051","美時國票22購02","2.48","3.42"
"079052","華通國票22購01","0.45","0.80"
"079053","台積電國票23購06","0.22","0.50"
"079054","台積電國票24購01","0.34","0.64"
"079055","長榮國票22購01","","0.01"
"079056","陽明國票21購06","","0.01"
"079058","南電國票22購01","0.26","0.84"
"079059","富鼎國票22購01","","0.18"
"07905P","台灣50台新22售01","","0.40"
"079060","華夏永豐22購01","0.07","0.12"
"079061","聚陽永豐21購01","3.27","3.27"
"079063","美時永豐21購01","","2.20"
"079064","長榮鋼永豐22購01","","0.09"
"079065","中環永豐21購01","0.16","0.32"
"079066","華邦電永豐21購01","","0.43"
"079067","一詮永豐21購01","","0.11"
"079068","長榮永豐21購02","","0.02"
"079069","華立永豐21購01","","0.26"
"07906P","宏達電國泰24售02","","1.14"
"079070","明泰永豐21購01","0.85","1.08"
"079071","嘉澤永豐22購01","","2.38"
"079072","日月光永豐21購01","","3.04"
"079073","康普永豐22購01","","0.01"
"079075","泰鼎永豐21購01","","0.06"
"079076","南亞統一23購01","0.29","0.47"
"079077","聯發科統一23購10","0.56","0.97"
"079078","長榮統一24購03","0.18","0.16"
"07907P","金像電群益22售01","0.16","0.22"
"079082","開發金統一25購01","0.24","0.32"
"079083","聯詠統一22購01","1.74","1.69"
"079084","群創統一24購01","0.44","0.55"
"079085","南電統一22購02","","0.73"
"079087","美時兆豐23購02","","4.58"
"079088","玉晶光兆豐21購01","","0.49"
"07908P","大立光群益22售01","0.08","0.13"
"079090","華新國泰23購02","","2.49"
"079091","台勝科國泰23購01","0.16","0.25"
"079092","T50正2凱基24購02","0.59","0.78"
"079093","T50正2凱基25購04","0.59","0.82"
"079094","T50正2凱基27購01","0.75","1.01"
"079096","華新凱基21購08","","2.79"
"079097","勝一凱基23購02","","0.03"
"079098","勝一凱基25購01","0.05","0.08"
"079099","美時凱基23購01","","4.04"
"079100","美時凱基23購02","","5.10"
"079101","美時凱基23購03","3.07","3.85"
"079102","聯電凱基21購07","","1.27"
"079103","聯電凱基21購08","","0.90"
"079104","台達電凱基25購01","","3.94"
"079105","台達電凱基25購02","4.09","4.34"
"079106","鴻海凱基21購05","","0.20"
"079107","敬鵬凱基25購01","","1.20"
"079108","建準凱基25購01","3.06","3.25"
"07910P","華擎群益22售01","","0.09"
"079114","潤泰全凱基21購02","","0.15"
"079115","大立光凱基25購01","","4.76"
"079116","欣興凱基21購08","","0.53"
"079117","欣興凱基24購01","0.76","1.14"
"079119","新唐凱基21購04","","0.27"
"07911P","智易群益23售01","","1.39"
"079120","南電凱基21購03","","0.48"
"079121","南電凱基21購04","","0.25"
"079122","南電凱基21購05","","0.24"
"079124","美時元富24購01","","6.80"
"079125","聯發科元富24購03","1.13","2.21"
"079130","欣興元富24購01","","3.47"
"079131","日月光元富21購01","1.68","2.27"
"079132","美時麥證23購01","","3.31"
"079133","長榮麥證28購01","","0.28"
"079134","富邦金麥證22購01","","1.73"
"079135","臺股指麥證26購05","0.35","0.47"
"079139","美時元大24購01","","5.08"
"079140","美時元大27購01","4.03","4.58"
"079141","台玻元大24購01","1.26","1.98"
"079142","聯電元大21購07","","1.40"
"079143","聯電元大24購02","","2.38"
"079144","聯電元大27購01","","2.70"
"079145","台積電元大21購19","0.29","0.62"
"079146","台積電元大24購03","1.00","1.18"
"079147","台積電元大26購08","","1.07"
"079148","台光電元大21購04","0.26","0.69"
"079149","聯發科元大21購09","0.48","0.51"
"07914P","台積電元大23售40","3.22","3.06"
"079150","聯發科元大26購05","1.56","2.25"
"079151","聯發科元大27購01","2.36","3.30"
"079152","長榮元大21購14","","0.17"
"079154","長榮元大27購01","","0.51"
"079156","陽明元大24購02","0.23","0.23"
"07915P","宏達電元大23售03","","0.98"
"079160","萬海元大26購01","0.45","0.40"
"079161","美食元大21購01","","0.96"
"079162","耀登元大24購01","0.79","1.03"
"079163","辛耘元大24購01","0.98","1.26"
"079165","台表科元大21購05","","0.73"
"079167","南電元大21購03","0.45","1.53"
"079168","南電元大21購04","","0.60"
"079169","南電元大26購02","0.98","1.43"
"07916P","欣興元大23售19","","0.17"
"079170","振樺電元大24購01","0.30","0.53"
"079172","台灣50富邦25購01","","0.59"
"079174","台達電富邦27購01","1.72","1.84"
"079175","華碩富邦23購02","0.29","0.43"
"079178","慧洋富邦23購01","0.30","0.28"
"079179","欣興富邦25購01","0.42","0.63"
"07917P","日月光元大23售03","","0.32"
"079180","TPK富邦25購01","0.48","0.54"
"079181","緯穎富邦23購01","1.03","1.26"
"079182","惠特富邦23購01","","0.09"
"079183","力積電富邦23購01","0.07","0.07"
"079185","萬海康和23購03","0.16","0.15"
"079187","聚陽中信22購01","","12.30"
"079188","美時中信23購01","","4.45"
"07918P","新唐元大23售04","","0.64"
"079190","欣興中信21購02","0.09","0.44"
"079192","南電中信21購01","0.12","0.72"
"079193","T50正2永豐21購01","","0.85"
"079194","東鋼永豐21購01","0.19","0.35"
"079195","南港永豐21購01","","0.21"
"079197","敬鵬永豐21購01","","0.93"
"079198","凱美永豐21購01","","0.47"
"079199","瑞昱永豐21購01","","0.29"
"07919P","力積電元大23售07","","0.73"
"079200","億光永豐21購01","","0.58"
"079201","南亞科永豐21購01","","1.24"
"079203","鉅祥永豐21購01","0.73","1.06"
"079204","健策永豐21購01","","2.78"
"079205","和潤永豐21購01","","0.54"
"079207","力積電永豐21購03","","0.09"
"079208","美時統一23購01","","3.06"
"079209","美時統一25購01","1.13","1.35"
"07920P","力積電元大24售01","","0.46"
"079210","聯電統一23購02","0.64","0.72"
"079211","聯發科統一24購02","0.61","1.01"
"079212","長榮統一23購16","","0.04"
"079214","台驊控統一24購01","0.23","0.24"
"079216","台勝科統一23購06","","0.30"
"079217","台積電兆豐25購02","","0.92"
"079218","樺漢兆豐21購01","","0.27"
"079220","南電兆豐21購01","","0.40"
"079222","台積電台新21購01","","5.08"
"079223","聯電國泰23購01","1.58","1.84"
"079224","聯電國泰23購02","1.56","1.71"
"079225","台積電國泰23購03","0.83","1.18"
"079226","安集國泰23購01","0.25","0.40"
"079227","美費半群益22購02","","1.53"
"079228","華城群益21購01","3.87","4.16"
"07922P","宏碁國票23售01","","0.49"
"079230","美時群益21購02","4.54","6.29"
"079231","台達電群益21購01","","5.50"
"079232","台積電群益21購13","","1.59"
"079234","台積電群益21購15","","0.83"
"079235","燿華群益23購01","","1.14"
"079236","菱生群益23購01","0.21","0.36"
"079237","佳能群益23購01","","1.18"
"079238","微星群益21購01","","1.32"
"079239","微星群益22購01","","0.83"
"07923P","台光電國票23售01","","0.09"
"079240","鼎元群益23購01","","0.44"
"079241","偉詮電群益21購02","","0.17"
"079242","強茂群益21購03","","0.71"
"079243","一詮群益23購01","","0.20"
"079244","宅配通群益23購01","0.23","0.20"
"079245","晶華群益21購01","","6.00"
"079246","文曄群益22購03","0.69","0.62"
"079247","玉晶光群益21購04","","1.30"
"079248","智易群益21購03","","1.66"
"079249","聯德群益23購01","0.13","0.15"
"07924P","宏達電國票22售01","","1.02"
"079250","致伸群益22購01","","0.10"
"079251","中磊群益21購02","","0.55"
"079252","力成群益22購01","0.48","1.06"
"079253","安集群益21購02","","0.04"
"079254","惠特群益24購01","0.11","0.20"
"079255","鈺齊群益21購03","","1.07"
"079258","臺股指群益21購06","","0.75"
"07925P","漢翔國票23售02","","0.84"
"079260","T50反1凱基25購02","0.18","0.16"
"079261","T50反1凱基27購01","0.21","0.19"
"079263","聯電凱基21購09","","2.51"
"079264","矽統凱基25購01","","0.78"
"079265","台光電凱基21購02","","1.32"
"079266","聯發科凱基21購09","","1.18"
"079267","聯發科凱基21購10","","1.10"
"079268","聯發科凱基21購11","","1.43"
"079269","長榮凱基21購20","","0.03"
"079271","萬海凱基23購03","","0.06"
"079273","昇貿凱基25購01","0.08","0.16"
"079274","玉晶光凱基21購03","","1.34"
"079275","玉晶光凱基24購01","","1.22"
"079276","晶相光凱基25購01","","0.42"
"079277","TPK凱基25購01","","0.61"
"079278","日月光凱基21購02","","4.78"
"079279","新唐凱基23購03","","0.54"
"079280","力成凱基21購01","","0.31"
"079281","台表科凱基21購02","","2.49"
"079284","大亞元富21購02","","0.18"
"079286","美時元富24購03","","4.20"
"079287","聯電元富21購03","1.15","1.82"
"079288","聯電元富21購04","","2.38"
"07928P","揚明光國票23售03","","1.04"
"079291","南亞科元富24購01","1.33","1.51"
"079293","長榮元富27購01","0.42","0.42"
"079294","長榮航元富24購02","2.01","2.20"
"079298","台玻麥證21購01","","1.85"
"07929P","嘉澤國票23售02","0.12","0.12"
"079300","台橡麥證21購01","","0.13"
"079302","台達電麥證23購01","2.01","2.60"
"079303","華泰麥證22購01","","0.87"
"079304","億光麥證23購01","0.14","0.14"
"079305","明泰麥證23購01","","0.95"
"079306","TPK麥證24購01","0.38","0.51"
"079307","神達麥證23購01","0.63","0.61"
"079308","聯茂麥證21購01","","0.04"
"079309","統一實麥證21購01","","0.33"
"07930P","愛普國票23售01","0.84","0.76"
"079310","華通國票22購02","1.12","1.46"
"079311","總太國票22購01","0.60","0.76"
"079312","耀登國票22購01","0.63","0.87"
"079313","創意國票22購04","11.20","10.47"
"079314","辛耘國票22購01","","0.67"
"079315","TPK國票22購01","","0.10"
"079316","承業醫國票22購01","1.07","1.36"
"079317","三福化國票22購02","","0.32"
"079318","凌通國票22購01","","0.09"
"079319","迅得國票22購01","0.33","0.44"
"07931P","聯電麥證25售02","0.44","0.42"
"079320","安集國票22購01","","0.22"
"079321","安集國票23購01","0.12","0.18"
"079323","T50反1元大26購03","","0.38"
"079324","T50反1元大27購02","","0.32"
"079325","臺指反元大25購07","","0.33"
"079326","臺指反元大26購02","","0.37"
"079328","華新元大27購01","2.61","2.81"
"079329","美時元大21購02","","5.55"
"079330","美時元大21購03","","5.62"
"079332","美時元大26購01","4.16","4.58"
"079333","美時元大27購02","3.45","4.06"
"079334","華通元大21購07","","2.07"
"079335","國巨元大21購01","","2.06"
"079337","台積電元大21購21","0.20","0.56"
"079338","台積電元大21購22","","0.81"
"07933P","聯電凱基24售03","","0.63"
"079340","瑞昱元大21購02","","0.32"
"079341","友達元大24購02","","0.20"
"079342","聯發科元大21購12","0.25","1.18"
"079343","聯發科元大26購06","1.62","2.32"
"079344","長榮元大21購16","0.09","0.12"
"079345","長榮元大26購04","0.60","0.56"
"079346","長榮元大27購02","0.51","0.45"
"079348","陽明元大21購09","","0.20"
"079349","陽明元大27購02","0.75","0.73"
"07934P","金像電凱基22售03","","0.23"
"079353","玉晶光元大21購04","","0.28"
"079355","力積電元大21購06","","0.19"
"079357","南電元大21購05","0.10","0.60"
"079358","南電元大21購06","0.25","0.83"
"079359","南電元大26購03","","1.20"
"07935P","南亞科凱基22售01","","0.29"
"079361","T50正2富邦23購02","0.68","1.05"
"079363","上証2X富邦24購01","","0.17"
"079365","台積電富邦26購06","0.76","0.96"
"079366","華新科富邦25購02","0.44","0.58"
"079367","潤泰全富邦23購02","0.29","0.37"
"079368","奇鋐富邦23購02","","1.81"
"079369","聯詠富邦23購04","","1.39"
"07936P","宏達電凱基26售01","","0.75"
"079370","亞德客中信21購01","","0.34"
"079371","裕隆中信21購01","","6.82"
"079372","可成中信21購01","0.44","0.69"
"079373","八方中信21購01","","3.62"
"079374","遠傳中信21購01","","0.05"
"079375","T50正2群益21購02","","2.14"
"079376","滬深2X群益22購01","","0.03"
"079377","東陽群益21購01","","0.31"
"079378","東陽群益21購02","","0.14"
"079379","堤維西群益21購01","","0.66"
"07937P","國泰金凱基23售02","","1.40"
"079380","亞德客群益21購01","","0.64"
"079383","台積電群益21購18","","3.50"
"079384","國碩群益21購01","","0.04"
"079385","聯發科群益21購07","","3.17"
"079387","聯發科群益21購09","","2.52"
"079388","長榮群益21購10","0.36","0.33"
"079389","陽明群益21購09","","0.26"
"079390","漢翔群益21購01","","0.28"
"079391","日月光群益21購02","","4.89"
"079393","啟碁群益21購01","","5.30"
"079394","嘉基群益21購01","","0.29"
"079396","南電群益21購03","0.42","1.40"
"079397","可成康和21購01","0.58","0.98"
"079398","可成康和23購01","0.23","0.46"
"079399","漢翔康和22購01","0.24","0.43"
"07939P","同欣電凱基23售02","","0.44"
"079402","日月光康和22購02","","3.87"
"079403","上海銀康和21購01","","0.18"
"079404","台灣50國票21購02","","1.74"
"079405","T50正2國票21購06","0.51","0.95"
"079406","T50正2國票22購04","","1.55"
"079407","T50反1國票21購03","","0.10"
"079408","T50反1國票22購03","","0.09"
"079409","T50反1國票23購02","0.11","0.11"
"07940P","緯穎康和22售01","","0.09"
"079411","聯電國票22購02","1.80","1.95"
"079412","台積電國票21購10","1.46","2.06"
"079413","台積電國票22購06","1.11","1.62"
"079415","長榮國票22購02","","0.03"
"079416","漢翔國票22購01","0.20","0.36"
"079417","聯詠國票21購06","3.70","3.70"
"079418","永崴控國票21購01","0.08","0.12"
"079419","智伸科國票22購01","","0.59"
"07941P","華航永豐22售02","","0.50"
"079422","臺股指國票22購04","1.30","1.65"
"079423","東陽凱基21購01","","0.44"
"079424","東陽凱基21購02","","0.19"
"079425","東陽凱基24購01","0.50","0.96"
"079427","堤維西凱基21購01","","0.35"
"079428","堤維西凱基21購02","","0.10"
"079429","亞德客凱基21購01","","0.36"
"079431","華新凱基21購09","","4.22"
"079432","中碳凱基23購01","0.10","0.09"
"079434","裕隆凱基23購01","","6.67"
"079436","聯強凱基21購01","","1.54"
"079437","國碩凱基21購01","","0.03"
"079438","聯發科凱基24購04","","2.38"
"079439","可成凱基21購02","","0.76"
"07943P","華航中信22售01","","0.58"
"079440","可成凱基24購01","0.35","0.63"
"079441","華航凱基24購01","0.37","0.42"
"079442","漢翔凱基21購01","","0.42"
"079443","漢翔凱基21購02","","0.16"
"079445","欣興凱基21購09","","0.72"
"079447","智伸科凱基21購01","","0.06"
"079448","嘉聯益凱基21購01","","1.78"
"07944P","滬深2X元富22售04","","1.40"
"079451","帝寶凱基21購01","","0.35"
"079453","嘉基凱基21購01","","0.23"
"079456","森崴凱基21購01","","0.02"
"079457","南電凱基21購06","","0.99"
"079458","南茂凱基21購01","","0.04"
"079459","富邦媒凱基21購01","","0.21"
"07945P","天鈺元富22售01","","0.12"
"079461","臺股指凱基24購19","1.94","2.20"
"079462","臺股指凱基24購20","0.95","1.21"
"079463","臺股指凱基25購09","0.91","1.34"
"079464","臺股指凱基26購04","","0.22"
"079465","FANG+統一22購01","0.38","0.52"
"079466","東陽統一22購01","0.16","0.45"
"079467","東陽統一22購02","0.44","0.93"
"079468","華新統一22購08","","2.55"
"079469","聯電統一22購07","","1.26"
"07946P","智邦麥證22售01","","0.49"
"079470","聯電統一37購01","1.33","1.44"
"079471","台積電統一23購06","1.20","1.46"
"079472","華邦電統一22購01","","0.80"
"079475","聯發科統一21購09","","1.95"
"079476","聯發科統一23購11","","0.70"
"079477","長榮統一22購15","0.26","0.28"
"079478","長榮統一23購18","","0.23"
"079481","陽明統一22購09","","0.18"
"079482","漢翔統一22購01","","0.68"
"079483","漢翔統一24購01","0.44","0.52"
"079484","聯詠統一22購02","2.93","2.86"
"079485","欣興統一24購01","","1.37"
"079486","景碩統一22購02","","0.58"
"079487","日月光統一23購02","","2.23"
"079488","愛普統一22購03","","0.78"
"079489","帝寶統一22購01","0.55","0.78"
"07948P","聯電國泰24售03","0.76","0.73"
"079490","力智統一22購01","","0.04"
"079491","光寶科兆豐23購01","1.74","1.84"
"079492","華邦電兆豐23購01","0.67","0.77"
"079493","順德兆豐23購01","0.19","0.28"
"079494","宏碁兆豐21購01","","1.53"
"079495","京元電兆豐23購01","0.74","0.62"
"079496","萬海兆豐23購01","0.24","0.24"
"079497","長榮航兆豐23購01","","0.40"
"079498","中信金兆豐21購01","","0.18"
"07949P","聯詠國泰24售01","","0.26"
"079500","聯詠兆豐23購01","","2.42"
"079501","富采兆豐21購01","","0.10"
"079502","緯穎兆豐23購02","","2.41"
"079503","矽創兆豐23購01","1.46","1.62"
"079504","南茂兆豐23購01","","0.48"
"079505","東陽國泰23購01","0.29","0.69"
"079506","堤維西國泰23購01","","0.79"
"079507","力智國泰23購01","","0.08"
"079508","東陽元富21購01","","0.43"
"079509","東陽元富21購02","0.27","0.78"
"07950P","威鋒電國泰24售01","","1.62"
"079510","東陽元富24購01","","0.71"
"079511","長榮元富23購07","1.13","0.89"
"079512","新唐元富24購01","0.51","0.61"
"079515","愛普元富24購01","0.48","0.86"
"079519","南電元富21購01","","1.62"
"07951P","亞德客群益23售01","","0.16"
"079520","世紀鋼元富24購02","","0.17"
"079521","宏碁麥證21購01","","0.49"
"079523","美食麥證23購01","","1.66"
"079524","臺股指麥證23購13","","1.97"
"079525","臺股指麥證23購14","1.05","1.22"
"079526","臺股指麥證26購07","1.33","1.49"
"079527","東陽元大21購01","","0.22"
"079528","東陽元大21購02","0.13","0.51"
"079529","堤維西元大21購01","","0.20"
"079530","堤維西元大21購02","","0.47"
"079532","裕隆元大21購02","","6.60"
"079533","裕隆元大21購03","","7.42"
"079534","台積電元大21購24","","1.85"
"079535","台積電元大24購04","1.55","1.81"
"079536","台積電元大27購01","","2.34"
"079537","聯強元大21購02","0.91","0.82"
"079538","宏碁元大21購01","0.16","0.57"
"079539","聯發科元大21購15","0.50","0.67"
"07953P","台亞群益22售01","","0.61"
"079540","聯發科元大21購16","","2.51"
"079541","可成元大21購02","","0.24"
"079542","可成元大21購03","0.37","0.52"
"079544","長榮元大26購05","0.50","0.49"
"079545","長榮元大27購03","","0.41"
"079546","陽明元大21購10","","0.10"
"079548","漢翔元大21購01","","0.20"
"079549","漢翔元大21購02","0.35","0.59"
"079550","中信金元大21購01","","0.23"
"079552","國光生元大21購01","","0.14"
"079553","國光生元大24購01","","0.60"
"079554","國光生元大26購01","0.86","0.70"
"079555","智伸科元大21購02","","0.38"
"079557","上海銀元大21購01","","0.07"
"079559","飛捷元大21購02","","0.12"
"07955P","宏達電群益24售02","","0.68"
"079560","啟碁元大21購02","3.34","3.84"
"079561","帝寶元大21購01","","0.85"
"079562","嘉基元大21購01","","0.24"
"079565","森崴元大21購01","0.03","0.06"
"079566","南電元大21購07","0.23","0.80"
"079567","南電元大21購08","0.67","1.54"
"079568","南電元大26購04","1.36","1.89"
"079569","富邦媒元大21購01","","0.06"
"07956P","健策群益22售03","","0.05"
"079570","富邦媒元大21購02","0.03","0.12"
"079571","鈺齊元大21購02","","0.12"
"079572","臺股指元大21購19","0.45","0.77"
"079573","臺股指元大21購20","","0.86"
"079574","臺股指元大21購21","0.44","0.70"
"079575","臺股指元大21購22","","0.55"
"079576","臺股指元大23購29","","0.76"
"079577","臺股指元大23購30","0.63","0.85"
"07957P","日月光群益22售01","","0.03"
"079580","臺指2X永豐21購01","","0.51"
"079581","泰山永豐21購01","","1.75"
"079582","東陽永豐21購01","0.05","0.29"
"079583","台化永豐21購01","","0.18"
"079584","亞德客永豐21購01","0.25","0.37"
"079585","華榮永豐21購01","","0.28"
"079586","中碳永豐21購01","","0.15"
"079587","裕隆永豐21購02","","5.42"
"079589","聯強永豐21購01","1.39","1.17"
"079591","國產永豐21購01","","0.83"
"079593","漢翔永豐21購01","","0.51"
"079594","八方永豐21購01","1.12","1.47"
"079596","欣陸永豐21購01","","0.87"
"079597","智伸科永豐21購01","","0.34"
"079599","上海銀永豐21購01","","0.21"
"07959P","聯電元大23售36","","1.23"
"079600","嘉聯益永豐21購01","","2.44"
"079603","帝寶永豐21購01","","0.58"
"079604","力智永豐21購01","","0.03"
"079605","森崴永豐21購01","","0.09"
"079606","富邦媒永豐21購01","","0.09"
"079607","東陽富邦23購01","0.12","0.25"
"079608","可成富邦23購01","","0.95"
"079609","國產富邦23購01","0.72","0.77"
"079613","力智富邦23購01","","0.11"
"079615","鴻海康和23購02","0.45","0.56"
"079616","鴻準康和23購01","2.51","2.94"
"079617","欣興康和21購03","","0.41"
"079618","遠傳康和21購01","","0.58"
"079619","富邦媒康和23購01","0.44","0.63"
"079620","台積電中信25購03","0.73","0.82"
"079622","緯穎中信21購01","","3.04"
"079623","力智中信21購01","","0.04"
"079624","新光鋼永豐21購01","1.13","0.93"
"079627","旺宏永豐21購01","0.92","1.01"
"079628","宏碁永豐21購01","0.85","0.91"
"079629","鴻準永豐21購01","","1.25"
"07962P","技嘉元大23售02","","0.13"
"079631","全新永豐21購01","0.17","0.61"
"079632","飛宏永豐21購02","","1.98"
"079633","長榮永豐21購03","0.07","0.09"
"079635","潤泰全永豐21購01","0.17","0.36"
"079636","健和興永豐21購01","0.23","0.41"
"079637","奇鋐永豐21購01","","3.67"
"079638","欣興永豐21購01","","0.75"
"079639","瑞鼎永豐21購01","","0.38"
"07963P","宏達電元大23售04","0.77","0.73"
"079640","天鈺永豐21購01","0.49","0.52"
"079642","愛普永豐21購01","","0.34"
"079643","臺股指永豐21購02","","0.29"
"079644","T50反1凱基25購03","","0.20"
"079646","S&P反1凱基27購01","0.37","0.31"
"079647","臺指反凱基27購01","0.25","0.23"
"079648","臺指反凱基27購02","","0.28"
"079649","元油反凱基27購01","1.88","1.98"
"07964P","大立光元大23售14","","0.05"
"079650","台泥凱基21購01","","0.05"
"079651","華通凱基21購03","1.65","2.12"
"079653","台積電凱基21購18","","2.42"
"079656","台積電凱基27購03","2.12","2.15"
"079657","台積電凱基27購04","1.43","1.88"
"079658","金像電凱基21購03","","2.39"
"079659","友達凱基21購06","0.32","0.61"
"07965P","大立光元大23售15","","0.44"
"079660","長榮凱基24購03","0.37","0.35"
"079661","長榮凱基24購04","0.55","0.57"
"079662","長榮航凱基22購04","0.21","0.27"
"079663","聯詠凱基22購01","2.80","2.44"
"079664","欣興凱基22購03","0.46","1.01"
"079665","日月光凱基23購01","","5.03"
"079667","上海銀凱基21購01","","0.06"
"079668","力智凱基21購01","","0.06"
"079669","鈺齊凱基21購01","","0.13"
"07966P","聯詠元大23售22","","0.23"
"079671","臺股指凱基21購21","","0.73"
"079672","台灣50群益21購06","","2.43"
"079674","台灣50群益22購01","1.69","2.75"
"079675","T50正2群益21購03","","1.23"
"079676","T50反1群益29購01","","0.29"
"079678","元金2X群益23購01","0.51","0.56"
"079679","道瓊銀群益23購01","1.12","1.12"
"079680","大成鋼群益21購02","","5.76"
"079681","聯電群益21購06","","2.62"
"079683","台積電群益21購20","","2.48"
"079684","金像電群益21購02","","4.13"
"079686","欣興群益21購02","0.16","0.77"
"079687","欣興群益21購03","","0.69"
"079688","台勝科群益21購01","0.06","0.40"
"079689","新唐群益21購06","","1.23"
"07968P","欣興元大23售20","","0.52"
"079690","瑞儀群益21購01","2.46","2.29"
"079691","臺股指群益21購08","","2.88"
"079692","電子類群益21購01","","1.69"
"079694","台積電統一25購04","1.19","1.39"
"079695","台積電統一27購01","1.25","1.43"
"079696","長榮統一27購01","0.54","0.50"
"079697","漢翔統一25購01","0.62","0.70"
"079698","玉晶光統一23購01","0.68","0.74"
"079699","瑞鼎統一22購01","0.63","0.65"
"07969P","欣興元大23售21","0.94","0.77"
"079700","中鴻兆豐23購01","1.44","1.04"
"079701","聯電兆豐23購01","1.64","1.94"
"079702","凌陽兆豐23購01","","0.52"
"079703","聯發科兆豐21購01","0.07","0.67"
"079704","聯發科兆豐23購01","0.87","1.46"
"079705","富邦金兆豐23購01","1.22","1.40"
"079706","欣興兆豐23購01","0.63","1.05"
"079707","景碩兆豐23購01","","0.49"
"079708","台勝科兆豐23購01","","0.52"
"079709","晶碩兆豐23購01","","0.46"
"07970P","玉晶光元大23售12","0.45","0.45"
"079710","台灣50麥證26購01","","1.02"
"079712","國巨麥證21購01","","4.71"
"079713","台積電麥證26購02","1.84","1.93"
"079714","台積電麥證27購01","","1.53"
"079715","日月光麥證21購01","","4.17"
"079716","道瓊銀富邦25購01","1.12","1.08"
"079717","旺宏富邦26購01","","1.60"
"07971P","嘉澤元大23售03","","0.05"
"079720","T50正2國票21購07","","1.92"
"079721","滬深2X國票24購01","","0.03"
"079722","可成國票21購03","0.71","1.31"
"079723","台勝科國票22購01","0.26","0.45"
"079725","惠特國票22購01","","0.11"
"079726","台灣50元富21購02","1.01","1.21"
"079727","鴻準元富21購01","1.46","1.78"
"079729","立積元富21購01","","0.27"
"07972P","智易元大23售04","","0.48"
"079730","立積元富21購02","","0.18"
"079732","臺股指元富21購01","1.10","1.74"
"079733","台灣50元大21購07","","0.50"
"079734","台灣50元大21購08","","0.59"
"079735","台灣50元大21購09","0.63","1.10"
"079736","台灣50元大23購07","0.83","0.84"
"079737","台灣50元大23購08","","1.55"
"079738","台灣50元大23購09","","1.66"
"079739","上証2X元大23購02","0.07","0.08"
"07973P","新唐元大23售05","","0.16"
"079740","滬深2X元大23購04","","0.06"
"079741","FB台半元大21購01","","0.67"
"079742","FB台半元大25購03","","0.50"
"079743","聚陽元大21購02","","5.55"
"079745","亞德客元大21購02","","0.17"
"079746","亞德客元大24購01","","0.35"
"079748","台積電元大25購09","","2.70"
"079749","台積電元大27購02","2.62","3.00"
"079750","智邦元大21購02","","4.01"
"079751","智邦元大21購03","2.23","2.42"
"079752","智邦元大26購01","2.31","2.40"
"079753","鴻準元大21購02","","0.88"
"079754","聯發科元大21購18","0.84","0.85"
"079755","聯發科元大25購04","1.73","2.44"
"079756","全新元大21購01","","0.62"
"079757","可成元大24購01","","1.23"
"079758","長榮元大21購18","","0.14"
"079759","長榮元大25購02","0.50","0.40"
"07975P","威鋒電元大23售01","1.01","0.91"
"079760","長榮元大27購04","0.64","0.55"
"079763","華航元大21購03","","0.20"
"079764","華航元大26購02","1.00","1.09"
"079765","萬海元大21購10","0.06","0.07"
"079766","萬海元大21購11","0.23","0.21"
"079767","長榮航元大21購19","0.57","0.68"
"079768","長榮航元大21購20","","0.17"
"07976P","力積電元大27售01","0.23","0.24"
"079770","中信金元大24購01","0.07","0.12"
"079771","潤泰全元大21購05","","1.03"
"079772","欣興元大21購07","","0.54"
"079773","欣興元大26購03","1.23","1.65"
